the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000040807D52C000000000C24C4440,961704,0101000020110F0000F16161E653685FC18092EED05FE55241,40.5996704101562,-73.9609527587891,Brooklyn,NB,New Building,321309124,3421806,NB,1036,false,6498,5/11/2018,1/8/2019 12:00,2353,CONEY ISLAND AVE,315,Z H L GROUP INC,RESIDENTIAL: APARTMENT HOUSES,3,2
0101000020E610000000000060837452C000000000684E4440,269360,0101000020110F0000EB00D8A10F595FC17CA4A5E537E75241,40.612548828125,-73.8205184936523,Queens,NB,New Building,420663311,4430534,NB,1321,false,1820,6/13/2018,9/1/2018 12:00,329,BERT ROAD,414,LMD RESIDENTIAL INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000405E7E52C000000040AC4E4440,9865976,0101000020110F0000B45640FDCC695FC180D6534184E75241,40.614631652832,-73.9745025634766,Brooklyn,NB,New Building,321042288,3425794,NB,1375,false,66662,5/9/2018,1/1/2019 12:00,2357,60TH ST,312,ROYAL HOME IMPROVEMENTS I,BUSINESS,9,
0101000020E6100000000000A06E8052C000000020A2514440,12072212,0101000020110F00005D49C47C4E6D5FC153147953D4EA5241,40.6377601623535,-74.0067520141602,Brooklyn,NB,New Building,320528489,3425096,NB,1965,false,81569,8/6/2018,7/28/2019 12:00,5521,8TH AVENUE,312,MANDARIN ENTPRSES II INC,BUSINESS,6,
0101000020E610000000000080F37B52C0000000E0205B4440,986716,0101000020110F00000C69E9FAB1655FC123390B5976F55241,40.7119407653809,-73.9367370605469,Brooklyn,NB,New Building,321513439,3425599,NB,4233,false,6667,8/10/2018,8/5/2019 12:00,306,MAUJER STREET,301,IA CONSTRUCTION MGMT,BUSINESS,2,0
0101000020E610000000000000277652C000000040AD5D4440,50616,0101000020110F0000E6535168D85B5FC166FE5B6951F85241,40.7318496704102,-73.8461303710938,Queens,NB,New Building,421514221,4607537,NB,4902,false,342,10/31/2017,9/14/2018 12:00,65-17,110 STREET,406,JD ARCH LLC,UTILITY / MISCELLANEOUS,1,
0101000020E6100000000000C0FF7252C000000040255E4440,52540,0101000020110F000086624E367D565FC11426DEE8D7F85241,40.7355117797852,-73.7968597412109,Queens,NB,New Building,421561161,4149337,NB,4998,false,355,6/5/2018,11/17/2018 12:00,65-32,173 STREET,408,WINSTON ANDREW SEYMOUR,UTILITY / MISCELLANEOUS,1,
0101000020E610000000000000B17252C0000000C08C5E4440,922928,0101000020110F0000217C8472F7555FC1BCEC90EB4BF95241,40.7386703491211,-73.7920532226562,Queens,NB,New Building,421403813,4617587,NB,5094,false,6236,7/23/2018,1/14/2019 12:00,61-10,182 STREET,408,DYNASTY CONTRACTING LLC,MERCANTILE,2,
0101000020E6100000000000C0B57B52C000000000CD5E4440,550000,0101000020110F000096DA6E1749655FC1628B6CF093F95241,40.7406311035156,-73.9329681396484,Queens,A1,ALT 1 Enlargement,420662367,4003465,A1,5151,true,120,4/13/2018,1/1/2019 12:00,32-32,48TH AVE,402,"STRUCTURE TONE, LLC",BUSINESS,2,
0101000020E610000000000020027C52C0000000C0D75E4440,1977355,0101000020110F000094F678D2CA655FC109413EFD9FF95241,40.7409591674805,-73.937629699707,Queens,A1,ALT 1 Enlargement,421211593,4003546,A1,5165,true,0,7/3/2018,3/1/2019 12:00,30-02,48TH AVENUE,402,CORE FOUR CONSTRUCTION IN,BUSINESS,3,
